tmdb_id,movie_title,character_name,billing_order,tmdb_person_id,name,also_known_as,gender,birthday,deathday,age,place_of_birth,nationality,known_for_dept,biography,marriage_status,spouse_names,partner_names,profile_url,instagram_id,instagram_url,twitter_id,twitter_url,facebook_id,facebook_url,tiktok_id,tiktok_url,imdb_id,wikidata_id,popularity
1582770,Dhurandhar: The Revenge,Hamza Ali Mazari / Jaskirat Singh Rangi,0,224223,Ranveer Singh, 	Ranveer Singh Bhavnani | Ранвир Сингх | رانویر سینگ,Male,1985-07-06,,40,"Mumbai, Maharashtra, India",India,Acting,"Ranveer Singh Bhavnani (born 6 July 1985) is an Indian film actor who appears in Hindi films. After completing a bachelor's degree from Indiana University, Bloomington, Singh returned to India to pursue a career in film. He made his acting debut in 2010 with a leading role in Yash Raj Films' romantic comedy Band Baaja Baaraat. The film emerged as a critical and commercial success, earning Singh a Filmfare Award in the Best Male Debut category.

Singh went on to star in the romantic drama Lootera (2013), Sanjay Leela Bhansali's tragic romance Goliyon Ki Raasleela Ram-Leela (2013), his biggest commercial successes to that point, and in the action-drama Gunday (2014). In 2015, he starred in the ensemble comedy-drama Dil Dhadakne Do (2015), and portrayed Bajirao in the historical romance Bajir",Married,Deepika Padukone,,https://image.tmdb.org/t/p/w500/sRiwLmhduFghJo8U2coUafnDD4C.jpg,ranveersingh,https://www.instagram.com/ranveersingh/,ranveerofficial,https://twitter.com/ranveerofficial,RanveerSinghOfficial,https://www.facebook.com/RanveerSinghOfficial,,,nm3828984,Q902879,5.93
1582770,Dhurandhar: The Revenge,Major Iqbal,1,52263,Arjun Rampal,,Male,1972-11-26,,53,"Jabalpur, Madhya Pradesh, India",India,Acting,"Arjun Rampal (born November 26, 1972) is an Indian actor, model, and producer. His accolades include a National Film Award for Best Supporting Actor and a Filmfare Best Supporting Actor Award.",Divorced,Gabriella Demetriades; Mehr Jesia Rampal,,https://image.tmdb.org/t/p/w500/mBz1NEF21vJ8rZwS8XthjgWkXtq.jpg,rampal72,https://www.instagram.com/rampal72/,rampalarjun,https://twitter.com/rampalarjun,RampalArjun,https://www.facebook.com/RampalArjun,,,nm0992000,Q442668,2.23
1582770,Dhurandhar: The Revenge,Ajay Sanyal,2,85519,R. Madhavan,R. Madhavan |   மாதவன் | R. Mathavan | Мадхаван,Male,1970-06-01,,55,"Jamshedpur, Jharkhand, India",India,Acting,"Ranganathan Madhavan (born 1 June 1970) is an Indian actor, writer and film producer. He has been described as one of the few actors in India who is able to achieve pan-Indian appeal, appearing in films from seven different languages. Madhavan has received two Filmfare Awards, an award from the Tamil Nadu State Film Awards alongside recognition and nominations from other organisations.  Madhavan began his acting career with television guest appearances, including a role on the Zee TV prime-time soap opera Banegi Apni Baat in 1996. After appearing in commercials and in small roles, he later gained recognition in the Tamil film industry through Mani Ratnam's successful romance film Alaipayuthey (2000).

In addition to his acting career, Madhavan has worked as a writer on his films, hosted te",Unknown,,,https://image.tmdb.org/t/p/w500/gaDrAdXxIrbBRCd9cX8YvJDEuLb.jpg,,,actormadhavan,https://twitter.com/actormadhavan,,,,,nm0534856,Q729982,2.24
1582770,Dhurandhar: The Revenge,SP Chaudhary Aslam,3,85881,Sanjay Dutt,Sunjay Dutt | Shri Sanjay Dutt | Master Sanjay Dutt | Baba,Male,1959-07-29,,66,"Mumbai, Maharashtra, India",India,Acting,"Sanjay Dutt (born 29 July 1959) is an Indian film actor and producer who works in Hindi cinema in addition to a few Telugu, Kannada, Tamil, and Punjabi films. Dutt is the son of Hindi film stars Sunil and Nargis Dutt. He made his debut in 1981. Known for his versatile roles, style and intensity, he has often portrayed flawed heroes on screen.",Married,Manyata Dutt,,https://image.tmdb.org/t/p/w500/oq4pnvWhl1HxKpp0KVlSfAr3Tiu.jpg,duttsanjay,https://www.instagram.com/duttsanjay/,duttsanjay,https://twitter.com/duttsanjay,Duttsanjay,https://www.facebook.com/Duttsanjay,,,nm0004569,Q310867,2.58
1582770,Dhurandhar: The Revenge,Yalina Jamali,4,579817,Sara Arjun,Baby Sara,Female,2005-06-15,,20," Mumbai, Maharashtra, India",India,Acting,"Sara Arjun (born 15 June 2005) is an Indian actress who has appeared in films, a series of commercials, and a short Hindi film before the age of six. In 2010, she was signed to portray a lead role in A. L. Vijay's Tamil drama film Deiva Thirumagal, portraying the role of a six-year-old daughter whose father was a  mentally challenged adult with the maturity of a six-year-old boy. The  film opened to critical and commercial acclaim, with Sara's performance receiving praise from film critics. She has since worked on Tamil and Hindi films, winning positive reviews for her portrayals, particularly for her role in Vijay's Saivam.",Unknown,,,https://image.tmdb.org/t/p/w500/uyZIlCL6xwWlor6JYSmIYUiPE7M.jpg,,,,,,,,,nm4271961,Q7421553,4.32
1582770,Dhurandhar: The Revenge,Jameel Jamali,5,110200,Rakesh Bedi,राकेश बेदी | Rakkesh Bedi,Male,1954-12-01,,71,"New Delhi, India",India,Acting,"Rakesh Bedi (born 1 December 1954) is an Indian film, stage and television actor. He is most known for his comedy roles in films such as Chashme Buddoor (1981), the television series, Yeh Jo Hai Zindagi (1984), Shrimaan Shrimati (1995) and Yes Boss (1999–2009).

Bedi started his film career as a supporting actor in the 1979 film Hamare Tumhare, starring Sanjeev Kumar, and then went on to act in over 150 films and several TV serials. Some of his most memorable roles were in the 1981 film Chashme Buddoor with Farooq Shaikh, Ek Duuje Ke Liye and Ravi Baswani and in the TV sitcoms Shrimaan Shrimati (1995), Yes Boss and Yeh Jo Hai Zindagi (1984), written by Sharad Joshi and directed by Kundan Shah. He had a minor role in Gulzar's Mere Apne, and has acted in a number of Punjabi movies, including",Unknown,,,https://image.tmdb.org/t/p/w500/dWLCiA3rqnaFPn9s0bk2MiSq5Mt.jpg,,,,,,,,,nm0066075,Q7286597,3.8
1582770,Dhurandhar: The Revenge,Mohammad Aalam,6,1013936,Gaurav Gera,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/l0kOZqfKusxfPp7wvkwDfNYT64K.jpg,,,,,,,,,nm1463550,Q5527751,0.7
1582770,Dhurandhar: The Revenge,Sushant Bansal,7,1238310,Manav Gohil,मानव गोहिल,Male,1974-11-09,,51,"Surendranagar, Gujarat, India",India,Acting,"Manav Gohil is an Indian actor. He has been active in the Hindi film industry for more than a decade and is best known for his roles in Hindi television shows, including the soap opera Kahaani Ghar Ghar Kii, the dance reality show Nach Baliye 2, the crime drama C.I.D., the drama Shaadi Mubarak and Tenali Rama. He is also known for Super 30 (2019), Josh (2000) and Baaghi 3 (2020).",Married,Shweta Kawatra,,https://image.tmdb.org/t/p/w500/7E7FUlRJzzq6K3KWDo4H5UJlvqz.jpg,manavgohil,https://www.instagram.com/manavgohil/,,,,,,,nm1654837,Q6747087,0.61
1582770,Dhurandhar: The Revenge,Dawood Ibrahim,8,4235042,Danish Iqbal,,Male,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/tOKa5BhjgtXXxw3IEBq6jRybH95.jpg,,,,,,,,,,,1.03
1582770,Dhurandhar: The Revenge,Javed Khanani,9,4678084,Ankit Sagar,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/bO5OWuAhZRaYohtZnWWOMQDkEWI.jpg,,,,,,,,,,,0.56
