tmdb_id,show_title,character_name,billing_order,tmdb_person_id,name,also_known_as,gender,birthday,deathday,age,place_of_birth,nationality,known_for_dept,biography,marriage_status,spouse_names,partner_names,profile_url,instagram_id,instagram_url,twitter_id,twitter_url,facebook_id,facebook_url,tiktok_id,tiktok_url,imdb_id,wikidata_id,popularity
102823,Mastram,Rajaram,0,117725,Anshuman Jha,,Male,1986-03-15,,40,"Allahabad, Uttar Pradesh, India",India,Acting,"Anshuman Jha is an Indian film and theatre actor best known for his work in Love Sex Aur Dhokha. He has been rated as one of the ""Top Ten Bollywood Actors of 2010"" by Rediff. His performance in his last five releases - 2014 release Yeh Hai Bakrapur, the 2015 release X: Past Is Present, the 2016 release Chauranga, the 2017 release Mona Darling & the 2018 release Angrezi Mein Kehte Hain (film) have been widely applauded by critics and audiences alike.

From Wikipedia, the free encyclopedia",Unknown,,,https://image.tmdb.org/t/p/w500/qYUK0PJqNezUHHzp65NJAu9Vtcb.jpg,,,,,anshumanjhaofficial,https://www.facebook.com/anshumanjhaofficial,,,nm3823216,Q4770677,0.79
102823,Mastram,Madhu,1,1602231,Tara Alisha Berry,Tara Alisha | Tara-Alisha Berry,Female,1988-05-19,,37,"Mumbai, Maharashtra, India",India,Acting,"Tara Alisha Berry is an Indian film and theater actress, known for her works in Bollywood and Tamil, Telugu-language films.",Unknown,,,https://image.tmdb.org/t/p/w500/7xKHmHPQdQZPgjqsNnzZoGZ9Y6N.jpg,taraalishaberry,https://www.instagram.com/taraalishaberry/,,,taraalishaberry,https://www.facebook.com/taraalishaberry,,,nm6192494,Q16875890,0.92
102823,Mastram,Gopal,2,1491432,Aakash Dabhade,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/tkcP38ySjkFwQDBTNd2LhncFJJQ.jpg,,,,,,,,,nm3561962,Q67123753,0.26
102823,Mastram,Mama,3,1168223,Jagat Rawat,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/2h1gByjnmLbcVhcxkvmWWDWPkFP.jpg,,,,,,,,,nm5376672,,0.21
102823,Mastram,Mama,4,52768,Vipin Sharma,Віпін Шарма,Male,1962-02-18,,64,"New Delhi, India",India,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/3TZHbQ1Zi3z1B721jwwTKxAMXqI.jpg,,,,,,,,,nm1479650,Q7933494,0.79
242722,Shrimad Ramayan,Vishnu /  Ram,0,4465841,Sujay Reu,,Unknown,1989-06-06,,36,,,Acting,"Sujay Reu is an Indian actor who mainly works in Hindi television. Reu made his acting debut with Ram Milaayi Jodi, playing Anukalp Gandhi. He is best known for his portrayal of Kishan Kapadia in Alaxmi Ka Super Parivaar and Bharata in Siya Ke Ram. Reu earned wider recognition with his portrayal of Rama/Vishnu in Shrimad Ramayan.",Unknown,,,https://image.tmdb.org/t/p/w500/f0EJgCwPpNplfeVzN9T9NtILeq0.jpg,sujayreu,https://www.instagram.com/sujayreu/,,,,,,,nm10031143,Q124353915,0.5
242722,Shrimad Ramayan,Laxmi / Sita,1,4513544,Prachi Bansal,,Female,2000-03-20,,26,"Mumbai, Maharashtra, India",India,Acting,"Prachi Bansal is an Indian actress who works in Hindi television. Bansal is best known for her portrayal of Vaani Agarwal Singhania in Thapki Pyar Ki 2 and Sita / Lakshmi in Shrimad Ramayan.

Bansal made her acting debut in 2017, with Bakula Bua Ka Bhoot, where she played a minor role. That same year, she made her film debut with Humein Haq Chahiye...Haq Se opposite Ankit Bhardwaj, playing a reporter.

In 2022, Bansal got her first lead role. She played Vaani ""Thapki"" Agarwal Singhania opposite Aakash Ahuja in Thapki Pyaar Ki 2. In 2023, Bansal played Goddess Ganga in Shiv Shakti – Tap Tyaag Tandav.

Since January 2024, Bansal is seen portraying Sita / Lakshmi in Shrimad Ramayan opposite Sujay Reu. The show marked a turning point in her career and gained her praises.",Unknown,,,https://image.tmdb.org/t/p/w500/qLtpKZB0fFY1tMEji6YoyypVdOF.jpg,,,,,,,,,nm9952552,Q124325866,0.16
242722,Shrimad Ramayan,Raavan,2,87352,Nikitin Dheer,,Male,1980-03-17,,46,,,Acting,"Nikitin Dheer is an Indian actor known for his powerful villainous roles in Bollywood and television. Born on March 17, 1980, in Mumbai, India, he is the son of veteran actor Pankaj Dheer. Nikitin made his Bollywood debut with Jodhaa Akbar (2008), portraying the fierce Mughal warrior Sharifuddin Hussain. He gained widespread recognition as the intimidating Thangaballi in Chennai Express (2013) and appeared in action-packed films like Dabangg 2 (2012), Housefull 3 (2016), and Shershaah (2021). On television, he impressed audiences with his roles in Ishqbaaaz and Naagin 3. Known for his towering physique and commanding screen presence, Nikitin has also showcased his adventurous side in reality shows like Khatron Ke Khiladi 5. He is married to actress Kratika Sengar.",Married,Kratika Sengar,,https://image.tmdb.org/t/p/w500/gAHNWVtStTGsqf2uxCegxvn6ILe.jpg,,,,,,,,,nm3049068,Q15104767,0.72
242722,Shrimad Ramayan,Lakshman,3,1948398,Basant Bhatt,,Male,1994-01-23,,32,"Nainital, Uttarakhand, India",India,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/mUuDcxFuf1lu3MdqhSr7Hj7gumK.jpg,kingbasantbhatt,https://www.instagram.com/kingbasantbhatt/,Kingbasantbhatt,https://twitter.com/Kingbasantbhatt,Kingbasantbhattofficial,https://www.facebook.com/Kingbasantbhattofficial,,,,,0.22
242722,Shrimad Ramayan,Hanuman,4,2120442,Nirbhay Wadhwa,,Unknown,,,,,,Acting,,Unknown,,,https://image.tmdb.org/t/p/w500/afCinkubLGukUvlal1ll1RSwQ89.jpg,,,,,,,,,,,0.11
