tmdb_id,title,original_title,language,genres,status,type,first_air_date,last_air_date,seasons,episodes,episode_runtime,network,production_companies,created_by,short_summary,tagline,homepage,in_production,poster_url,backdrop_url,imdb_id,wikidata_id,instagram_id,instagram_url,twitter_id,twitter_url,facebook_id,facebook_url,popularity,vote_average,vote_count,origin_country
102823,Mastram,मस्तराम,hi,"Drama, Comedy",Ended,Scripted,2020-04-30,2020-04-30,1,10,30,MX Player,,Harish Vyas,An aspiring author living in the heartland of 1980s India discovers that sex sells when the addition of erotic content to his book finally results in sales.,,https://www.mxplayer.in/show/watch-mastram/season-1/episode-1-online-af7e2dcef1e3f59fc2bcaff57e26401a,False,https://image.tmdb.org/t/p/w500/uckX3gm2M3mCFqkajZnRU9pYWfQ.jpg,https://image.tmdb.org/t/p/original/5RsLFOXFM1RfQoIKExNNX0TGdCE.jpg,tt12196626,Q105561101,,,,,,,29.62,7.3,9,IN
242722,Shrimad Ramayan,श्रीमद् रामायण,hi,"Drama, Family",Ended,Scripted,2024-01-01,2025-03-10,1,341,,"Sony Entertainment Television, Sony SAB",Swastik Productions,Siddharth Kumar Tewary,"'Shrimad Ramayan' brings to life the timeless Hindu epic, the Ramayana, with a deep commitment to authenticity, cultural reverence and contemporary sensibility. The epic narrative of the Ramayana is rooted in the two words, 'Ram' and 'Ayana.' 'Ram' represents the human incarnation of Lord Vishnu, while 'Ayana' signifies a journey. Thus, the Ramayana unfolds through the voyage of Ram, a mortal who ascended to become Purushottam, the paragon among men, transcending his own inherent limitations.",,https://www.sonyliv.com/shows/shrimad-ramayan-1700001378,False,https://image.tmdb.org/t/p/w500/bJWJXy8QofnP366dpwpPtxEO7dO.jpg,https://image.tmdb.org/t/p/original/hjUAvBrkc3EymvGIxHoCBk185DN.jpg,tt30145246,Q123569879,,,,,,,10.07,6.9,9,IN
301734,Muthu Alias Kaattaan,முத்து எங்கிற காட்டான்,ta,"Drama, Crime, Action & Adventure",Returning Series,Miniseries,2026-03-27,2026-03-27,1,10,,JioHotstar,,M. Manikandan,"A story of an man who becomes a legend, a Monster, and a Miracle, depending on the Storyteller.",,,True,https://image.tmdb.org/t/p/w500/nOxTfnDo0tOKWKBsoTmJHYjOrme.jpg,https://image.tmdb.org/t/p/original/iCZBpc0mW23XbkEI75KP5G5dgvK.jpg,tt39151086,,,,,,,,21.01,6.5,2,IN
116479,Anupamaa,अनुपमा,hi,"Drama, Soap",Returning Series,Scripted,2020-07-13,2026-03-24,1,1768,23,StarPlus,Director's Kut Productions,Rajan Shahi,"Anupama had to sacrifice a lot to become an ideal wife, daughter-in-law, and mother. After a bitter realisation, she sets out to live on her own terms.",Dus Saal Baad,https://www.hotstar.com/in/tv/anupama/1260022017,True,https://image.tmdb.org/t/p/w500/i3ZcFxUiGr6HV5yv1i6n7uKHyj7.jpg,https://image.tmdb.org/t/p/original/wBu3BErMuZ51H701J8QjmoHdBHr.jpg,tt11867666,Q86752959,,,,,,,20.69,4.7,25,IN
204889,Mithai,Mithai,bn,"Drama, Comedy",Ended,Scripted,2021-01-04,2023-06-09,1,875,22,Zee Bangla,,Samrat Ghosh,"Mithai is a girl full of life, while Siddhartha is serious, intelligent, and self-centered. This culturally rich story revolves around traditional Bengali sweets and love.",,,False,https://image.tmdb.org/t/p/w500/c9ECRSyYu5VZ3L8Q4FYy0sAwi09.jpg,https://image.tmdb.org/t/p/original/gfA6kltfCqEVpkviA1gFyZNrUMM.jpg,,,,,,,,,28.11,4.5,1,IN
125364,Palang Tod,Palang Tod,hi,Drama,Returning Series,Scripted,2020-12-25,2023-06-16,1,33,,ullu,Ullu,,Palang Tod is an erotic web series which tells a separate story in each episode.,,https://ullu.app/#/home,True,https://image.tmdb.org/t/p/w500/3jAeJu40uKy0ondWdzQxu0A97MT.jpg,https://image.tmdb.org/t/p/original/amNbL2hXiMm8jfMG7PiolvfBHam.jpg,tt13901708,,,,,,,,23.51,1.0,2,IN
271879,Jagriti - Ek Nayi Subah,Jagriti,hi,Drama,Returning Series,Scripted,2024-09-16,2026-01-11,1,481,,"Zee TV, ZEE5",Gurodev Bhalla Productions,Guroudev Bhalla,"Jagriti, from the marginalised Chitta community, challenges age-old traditions to empower her people and locks horns with her leader who works for the mafia.",,,True,https://image.tmdb.org/t/p/w500/aYaJJRkBibCgkTo9qncaOceLO2X.jpg,https://image.tmdb.org/t/p/original/nL5ZZ7QWA5uWlLqmUN2Djt8prYU.jpg,tt33310385,,,,,,,,19.69,0.0,0,IN
247769,The Great Indian Kapil Show,द ग्रेट इंडियन कपिल शो,hi,"Talk, Comedy",Returning Series,Talk Show,2024-03-30,2026-03-14,4,53,60,Netflix,"K9 Films Production, Beingu Studios",Kapil Sharma,"Comedian Kapil Sharma hosts this laugh-out-loud variety talk show with celebrity guests, hilarious antics and his signature supporting cast.",,https://www.netflix.com/title/81737430,True,https://image.tmdb.org/t/p/w500/3KMCmGDlYLlJ8zGOhCs6f3FZcnj.jpg,https://image.tmdb.org/t/p/original/w8L2oVjsSRZdZ1Wcszot9cKZMRO.jpg,tt30003786,Q125207918,,,,,,,15.12,7.9,14,IN
248064,Heart Beat,Heart Beat,ta,Drama,Returning Series,Scripted,2024-03-08,2025-11-06,2,200,,"Disney+ Hotstar, JioHotstar",,,RK Multispeciality Hospital is a beacon of hope and healing. Its doctors are resilient even when they have to deal with medical and personal challenges.,,,True,https://image.tmdb.org/t/p/w500/odnF5hyuYI8itcMLxFT6H9IpKoT.jpg,https://image.tmdb.org/t/p/original/kDKhqbkHeYCdaGQc9rZEX0xvsdh.jpg,tt31862809,Q125565100,,,,,,,13.9,7.8,4,IN
257530,Laughter Chefs Unlimited Entertainment,Laughter Chefs Unlimited Entertainment,hi,"Comedy, Family",Returning Series,Scripted,2024-06-01,2026-03-22,3,128,70,Colors,Optimystix Entertainment India,,"Colors presents an innovative blend of celebrity personalities, culinary skills, and comedy, all coming together for a delightful entertainment experience.",,https://www.hotstar.com/in/shows/laughter-chefs-unlimited-entertainment/1971003517,True,https://image.tmdb.org/t/p/w500/zu9yTo3VOY5k7b3PQT5RT74W4GU.jpg,https://image.tmdb.org/t/p/original/7fet7gTYvajJd3z7GPZS6z1PyWD.jpg,tt32590226,,,,,,,,11.99,5.5,2,IN
